Reg_No,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9
CE306,,,,,,,,,
CE334,,,,,,,,,
CE308,,,,,,,,,
CE352,,,,,,,,,
HS300,,,,,,,,,
CE362,,,,,,,,,
CE302,,,,,,,,,
CE366,,,,,,,,,
CE368,,,,,,,,,
CE304,,,,,,,,,
CE332,,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
LMAC15CE123,HS300(B+), CE302(B), CE304(B), CE306(F), CE308(C), CE366(B), CE332(B+), CE334(B+),CE352(C)
,,,,,,,,,
LMAC15CE124,HS300(A), CE302(A), CE304(A+), CE306(B+), CE308(B+), CE368(B), CE332(A), CE334(B),
,CE352(B),,,,,,,,
LMAC15CE125,HS300(A), CE302(B+), CE304(A+), CE306(B), CE308(B+), CE368(A), CE332(B), CE334(B+),
LMAC15CE126,HS300(B+), CE302(B+), CE304(O), CE306(B+), CE308(B+), CE362(B+), CE332(B+), CE334(B),
LMAC15CE127,HS300(B), CE302(C), CE304(C), CE306(F), CE308(P), CE366(C), CE332(B+), CE334(A),
LMAC15CE128,HS300(B), CE302(B), CE304(C), CE306(Absent), CE308(C), CE368(F), CE332(B+), CE334(B+),
LMAC15CE129,HS300(A+), CE302(B+), CE304(A+), CE306(B), CE308(A+), CE366(A+), CE332(A), CE334(A),
LMAC15CE130,HS300(B), CE302(F), CE304(F), CE306(F), CE308(F), CE362(F), CE332(B+), CE334(B+),
LMAC15CE131,HS300(C), CE302(C), CE304(B+), CE306(C), CE308(C), CE362(C), CE332(B+), CE334(A),
LMAC15CE132,HS300(B), CE302(F), CE304(B), CE306(F), CE308(C), CE366(B), CE332(B+), CE334(A),
LMAC15CE133,HS300(P), CE302(P), CE304(F), CE306(F), CE308(F), CE362(C), CE332(A), CE334(B+),
LMAC15CE134,HS300(B), CE302(C), CE304(C), CE306(Absent), CE308(F), CE362(B), CE332(B+), CE334(P),
MAC15CE001,HS300(B), CE302(C), CE304(B), CE306(C), CE308(B+), CE366(A), CE332(A), CE334(A+),
MAC15CE002,HS300(B+), CE302(B), CE304(B), CE306(C), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE003,HS300(B+), CE302(B), CE304(C), CE306(C), CE308(C), CE362(B), CE332(B+), CE334(B),
MAC15CE004,HS300(F), CE302(FE), CE304(FE), CE306(FE), CE308(FE), CE366(FE), CE332(C), CE334(I),
MAC15CE005,HS300(B), CE302(F), CE304(F), CE306(F), CE308(C), CE362(B+), CE332(B+), CE334(A),
MAC15CE006,HS300(B+), CE302(B+), CE304(C), CE306(B), CE308(B+), CE362(B+), CE332(B+), CE334(B),
MAC15CE007,HS300(C), CE302(B), CE304(F), CE306(C), CE308(B), CE366(B+), CE332(B+), CE334(B),
MAC15CE010,HS300(B+), CE302(B), CE304(C), CE306(C), CE308(F), CE362(C), CE332(B+), CE334(B),
MAC15CE011,HS300(B), CE302(C), CE304(F), CE306(B), CE308(F), CE366(B+), CE332(B+), CE334(C),
MAC15CE012,HS300(F), CE302(B), CE304(C), CE306(F), CE308(F), CE368(F), CE332(B), CE334(B),
MAC15CE013,HS300(B+), CE302(B), CE304(A+), CE306(B), CE308(B+), CE362(A), CE332(A), CE334(A),
MAC15CE014,HS300(A), CE302(B+), CE304(B+), CE306(C), CE308(B+), CE362(B+), CE332(B+), CE334(C),
MAC15CE015,HS300(A), CE302(B+), CE304(B+), CE306(C), CE308(A+), CE366(A+), CE332(A), CE334(A),
MAC15CE016,HS300(B), CE302(B), CE304(B+), CE306(F), CE308(A+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE017,HS300(B), CE302(C), CE304(F), CE306(F), CE308(C), CE362(B), CE332(B+), CE334(C),
MAC15CE018,HS300(A+), CE302(B+), CE304(B+), CE306(C), CE308(B+), CE366(A+), CE332(B+), CE334(B),
MAC15CE019,HS300(C), CE302(C), CE304(F), CE306(C), CE308(B), CE366(B+), CE332(B+), CE334(B),
MAC15CE020,HS300(A), CE302(B+), CE304(B+), CE306(B), CE308(A), CE366(A+), CE332(A), CE334(A),
MAC15CE021,HS300(C), CE302(B+), CE304(B), CE306(F), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE022,HS300(B+), CE302(B+), CE304(C), CE306(C), CE308(B+), CE366(A), CE332(B+), CE334(B+),
MAC15CE023,HS300(B+), CE302(C), CE304(C), CE306(B), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE024,HS300(A), CE302(B+), CE304(B+), CE306(B), CE308(A), CE366(A), CE332(B+), CE334(B+),
MAC15CE025,HS300(B+), CE302(C), CE304(F), CE306(P), CE308(C), CE366(B+), CE332(B+), CE334(B+),
MAC15CE026,HS300(A+), CE302(O), CE304(B), CE306(B+), CE308(O), CE366(O), CE332(A), CE334(B+),
MAC15CE029,HS300(B), CE302(B), CE304(C), CE306(B+), CE308(B), CE366(B+), CE332(B+), CE334(B+),
MAC15CE030,HS300(B+), CE302(B+), CE304(B), CE306(F), CE308(B), CE366(B+), CE332(B+), CE334(B),
MAC15CE031,HS300(A+), CE302(B+), CE304(B+), CE306(B), CE308(B), CE366(A+), CE332(A), CE334(B+),
MAC15CE032,HS300(B+), CE302(B), CE304(C), CE306(F), CE308(B), CE366(B), CE332(B+), CE334(B),
MAC15CE033,HS300(A), CE302(B+), CE304(B), CE306(B+), CE308(B), CE362(B+), CE332(B+), CE334(B),
MAC15CE035,HS300(C), CE302(C), CE304(F), CE306(C), CE308(C), CE366(B+), CE332(A), CE334(A),
MAC15CE036,HS300(B), CE302(C), CE304(F), CE306(C), CE308(B), CE366(B+), CE332(B), CE334(C),
MAC15CE037,HS300(F), CE302(C), CE304(Absent), CE306(B), CE308(F), CE362(C), CE332(B), CE334(B),
MAC15CE038,HS300(A), CE302(B), CE304(B+), CE306(A), CE308(A), CE366(A), CE332(B+), CE334(B+),
MAC15CE039,HS300(B), CE302(B+), CE304(C), CE306(C), CE308(B+), CE366(B), CE332(B+), CE334(B+),
MAC15CE040,HS300(C), CE302(A+), CE304(B+), CE306(C), CE308(B+), CE366(B+), CE332(B+), CE334(B),
